1girl,101400
solo,101400
long_hair,46631
breasts,34850
highres,33698
blush,29826
smile,26476
looking_at_viewer,25979
short_hair,25401
blue_eyes,19430
open_mouth,19151
skirt,19064
thighhighs,18573
large_breasts,17665
blonde_hair,17098
red_eyes,16032
brown_hair,15902
bad_id,15000
hat,14728
bad_pixiv_id,14213
ribbon,13775
underwear,13566
simple_background,12661
dress,12625
gloves,12423
black_hair,12365
hair_ornament,12035
panties,11893
navel,11849
bow,11550
twintails,11545
brown_eyes,11140
cleavage,10768
medium_breasts,10202
white_background,9932
school_uniform,9887
sitting,9821
animal_ears,9529
green_eyes,9314
very_long_hair,8759
bare_shoulders,8726
nipples,8145
blue_hair,8083
shirt,7914
black_legwear,7610
jewelry,7436
weapon,7387
swimsuit,7365
hair_ribbon,7356
long_sleeves,7310
purple_eyes,7294
absurdres,6608
bangs,6581
tail,6577
ass,6386
purple_hair,6205
flower,6136
yellow_eyes,6039
pink_hair,5999
wings,5952
hair_bow,5854
boots,5845
silver_hair,5773
full_body,5697
pantyhose,5573
ponytail,5568
detached_sleeves,5387
bikini,5012
green_hair,4990
barefoot,4949
hairband,4906
braid,4833
lying,4767
nude,4747
collarbone,4572
monochrome,4557
standing,4490
serafuku,4437
japanese_clothes,4416
red_hair,4394
ahoge,4394
midriff,4239
holding,4120
shoes,4077
upper_body,4059
heart,4054
striped,4002
elbow_gloves,3936
one_eye_closed,3929
looking_back,3895
food,3892
small_breasts,3883
white_legwear,3817
pleated_skirt,3803
frills,3792
translated,3747
:d,3713
glasses,3681
necktie,3667
pussy,3608
commentary_request,3555
open_clothes,3427
sword,3423
sky,3343
short_sleeves,3312
artist_request,3290
cowboy_shot,3255
white_hair,3077
closed_eyes,3077
cat_ears,3072
alternate_costume,3036
white_panties,3022
pointy_ears,3002
earrings,2990
eyebrows_visible_through_hair,2983
fang,2871
jacket,2814
tears,2794
sketch,2792
copyright_request,2778
flat_chest,2777
shorts,2763
sweat,2763
hair_between_eyes,2744
aqua_eyes,2726
zettai_ryouiki,2708
thighs,2705
lowres,2683
day,2675
character_name,2652
choker,2644
pink_eyes,2643
covered_nipples,2610
armpits,2597
translation_request,2593
huge_breasts,2558
belt,2525
socks,2509
cloud,2501
bra,2484
fingerless_gloves,2483
hairclip,2476
official_art,2476
puffy_sleeves,2475
water,2459
censored,2416
feet,2374
hair_flower,2341
